STUDENT_ID	CURRENT_SCHOOL	LAST_NAME	FIRST_NAME	MIDDLE_NAME	DATE_OF_BIRTH	GENDER_CODE	GRADE_LEVEL
1013796	INACT	Gatwick	Jennifer	Nicole	01/08/2003	F	04
1010242	4011	Bedgood	Phil	MATTEO	05/30/1997	F	05
1010243	4011	Bedient	Hugh	SANTORA	05/18/1997	F	05
1009973	2002	Baker	Del		08/29/1992	M	09
1004305	2002	Arias	Rudy		08/30/1992	F	09
1006942	2002	Citarella	Ralph	MARCEL	07/30/1990	M	10
1004752	2002	Bergen	Bill	BRETT	06/15/1993	F	09
105259	2002	Aaron	Hank		06/28/1998	M	09
105915	2002	Baldwin	Dave	 Joseph	08/27/1990	F	11
1004859	2002	Biggs	Charlie	LYNN	02/03/1994	F	09
1004453	2002	Barkley	Brian		08/10/1993	F	09
1009986	2002	Balboni	Steve		06/04/1994	F	09
1000809	2002	Bailey	Steve	WILLIAM	08/04/1992	M	09
1010230	4011	Bechtel	George	H	09/05/1997	F	05
1010231	4011	Beck	Erve	A	05/22/1996	F	05
105318	2002	Alvarez	Gabe	YUK	08/04/1988	M	12
1004234	2002	Alten	Ernie	ROBERT	07/08/1993	M	09
105439	2002	Barrios	Jose		04/26/1989	M	12
1010254	4011	Belanger	Mark	JANAE	02/11/1997	M	05
1010223	4011	Beatty	Blaine		05/03/1997	F	05
1004128	2002	Aardsma	David	EDWARD	07/08/1993	M	10
505609	2002	Monroe	John		04/18/1991	M	10
158822	INACT	Sears	Sarah	Daniel	02/13/1990	F	06
1009693	4007	Adams	Sparky	ANTHONY	01/17/1998	M	03
1004420	2002	Ball	Jeff	SONISE	08/20/1993	F	09
1005339	2002	Batista	Rafael	T	03/02/1994	F	09
1010458	2002	Blateric	Steve	ELIECER	04/07/1993	F	09
1009531	2002	Elia	Lee	ELIZABETH	09/03/1990	M	10
1010119	4011	Barton	Bob	CAMPBELL	09/16/1997	M	05
1004906	2002	Bjorkman	George	DAVID	01/07/1993	M	09
1000084	2002	Delahanty	Frank		01/17/1990	F	11
1014142	2002	Smith	Liam	Matthew	10/27/1994	M	11
1014132	OOD	Morris	Rebecca	Elizabeth	07/05/2001	F	04
1013877	2002	Smith	JJ		03/04/1992	M	11
9555	OOD	Navel	Fuzzy		08/04/1998	M	11
1010370	2002	Biddle	Caitlin	ALLEN	10/03/1990	F	11
505805	2002	Oliver	Darren		02/26/1990	M	11
1012212	2002	DeVore	Dez	LaSHAY	05/12/1990	M	11
60	2002	DeMarino	Dennis		11/12/1993	M	09
FLYC	3005	Shafer	Joanne		02/25/1994	F	08
953354	2002	Aaron	Hank	LOUIS	10/24/1979	F	11
EENG	3004	Esolda	Michael		01/15/1994	F	08
SZYB	3004	Zega   Ed.D.	Robert		03/14/1994	M	08
1008213	OOD	David	Andre		09/14/1996	M	05
20024162	2002	Jones	Mary	T	03/17/1999	F	09
1004138	INACT	Abbott	Kyle	G.	09/12/1988	M	PG
105032	INACT	Lamanske	Frank	QUINN	07/13/1987	F	PG
1012850	4014	Franco	Julio		08/31/2000	M	02
105793	INACT	Cabrera	Jolbert		09/17/1990	F	01
1012857	4012	Franklin	Genesis	CHRISTOPER	08/31/2000	F	02
1012859	4007	Fraser	Willie	AARON	10/07/1999	M	03
1004636	3005	Belcher	Tim	JESSICA	10/16/1994	M	07
1008849	INACT	Dowd	John	MICHELLE	03/05/1989	F	11
105226	INACT	Levis	Jesse	J	03/01/1988	M	02
404089	INACT	Kroeger	Josh	GISELLE	02/03/1988	M	04
105547	INACT	Biggs	Charlie	ROBERT	01/12/1988	F	11
105549	INACT	Mayo	Eddie		08/18/1989	M	11
1011367	4009	Castillo	Carmen	MARIE	08/06/1999	F	03
1011370	4009	Castillo	Manny	ADAM	08/03/1999	M	03
1011178	INACT	Bush	Joe		05/28/1989	M	09
1011203	INACT	Allen	Horace		07/23/1999	M	02
505536	INACT	Meyer	Joey	ELIZABETH	11/17/1989	M	01
1009906	INACT	Ayers	Bill		09/02/1998	F	02
1003398	INACT	Urbani	Tom		11/20/1993	M	KF
1002468	INACT	Ross	Bob		10/16/1990	F	04
1003360	3005	Turner	Shane	ISAAC	08/03/1994	F	08
1000372	INACT	Griffin	Pat	S	01/17/1989	M	11
1011268	3005	Campbell	Hugh	TRINEASE	06/07/1995	F	07
1011810	4009	Crane	Fred	HUSSEIN	02/04/1999	M	03
1001261	INACT	Kennedy	Ray	MALAIKA	05/16/1987	F	09
1007023	3004	Clarke	Grey	K	02/24/1995	M	07
1007026	3004	Clarke	Horace	JOHN	06/04/1995	F	07
1008525	4011	Delgado	Wilson	ADAM	07/15/1997	M	05
1007513	INACT	Copeland	Mays		05/12/1987	M	PG
505467	INACT	McIntosh	Joe	EMMANUEL	05/15/1990	F	01
1009515	INACT	Eilers	Dave		12/16/1986	F	PG
105298	INACT	Alexander	Pete	LYNN	10/26/1987	F	02
1011580	2002	Cockrell	Alan		05/08/1990	M	11
1011347	4007	Cary	Scott	HENRY	06/15/1999	M	03
1011348	4007	Casanova	Paul	MONEE	04/20/1999	M	03
1011040	INACT	Broussard	Ben	VERENICE	03/23/1987	F	12
1006838	INACT	Childs	Cupid	ANTONIO	08/25/1996	F	04
1008068	4011	Cust	Jack	Z	06/23/1997	F	05
1007647	2002	Costello	John	HARRY	04/14/1994	M	09
1006511	3005	Carter	Joe		06/05/1995	M	07
1011041	4009	Browne	Byron		08/12/1998	F	03
1011232	4012	Cain	Les	ROBERT	07/28/1999	F	03
403838	INACT	Jacobsen	Bucky		01/28/1989	F	01
1003170	2002	Terwilliger	Wayne	KIRSTEN	01/31/1991	M	10
1000653	INACT	Strobel	Allie	D	06/28/1990	F	10
1003106	INACT	Tappan	Walter	J	05/21/1988	M	06
403839	INACT	Jacklitsch	Fred	MALIA	09/29/1989	M	11
403840	INACT	Jacobs	Art	J	04/01/1989	M	04
1011631	INACT	Collins	Orth		04/24/1999	F	KF
1011256	4012	Cammeyer	Bill		09/29/1999	F	03
1008204	4011	Davenport	Claude		02/01/1997	F	05
1008206	4011	Davenport	Dave	LEE	12/14/1996	F	05
1009677	INACT	Adams	Buster	ERIC	08/07/1998	F	03
403502	2002	Haley	Ray	MARIE	02/04/1990	M	11
105365	INACT	Austin	Jeff		09/24/1988	M	01
1006776	4011	Charboneau	Joe	A	07/16/1996	F	05
1000376	INACT	Grilli	Steve		11/08/1990	M	01
1000431	INACT	Hartranft	Ray	ENRIQUE	07/25/1989	M	12
1003127	4011	Taylor	Bob	FERNANDA	01/18/1996	M	05
1000689	INACT	Sullivan	Jim		10/07/1990	M	01
1001974	2002	Northey	Ron	MANNA	02/25/1990	M	11
1006945	INACT	Claire	Danny		12/10/1987	M	11
1010582	INACT	Bourque	Pat	W	12/09/1994	M	04
1006155	3005	Byerly	Bud	MANUEL	04/30/1996	F	06
1004488	INACT	Barrows	Frank	ALEXANDER	06/20/1987	M	PG
1001304	2002	Krausse	Lew	WILLIAM	10/28/1991	M	10
1002039	INACT	Baylor	Don	R	09/29/1990	F	09
1002291	INACT	Ragland	Frank		07/15/1991	M	02
1000394	INACT	Hairston	Johnny		05/07/1988	F	03
1006086	4011	Bush	David		03/07/1996	F	05
1013444	2002	Harper	Brian		05/17/1993	M	09
404158	2002	Lazorko	Jack	ERIC	06/28/1991	M	10
105925	INACT	Cipriani	Frank		07/11/1990	F	11
505449	2002	McGee	Pat	PERRY	05/18/1990	F	11
505450	INACT	McGehee	Kevin		09/29/1989	M	03
1002309	2002	Rasmussen	Eric	M	10/11/1992	F	09
1001608	2002	McCann	Gene	HELEN	02/07/1990	M	11
1004029	2002	Yancy	Hugh	CHANTAL	11/05/1992	F	09
1006213	3005	Cady	Charlie	C	05/26/1996	F	06
1002438	2002	Roetz	Ed	NICHOLAS	06/18/1993	M	09
1008064	4011	Cusick	Jack		11/09/1996	M	05
1008984	INACT	Duffie	John		08/27/1988	M	10
105882	INACT	Chadwick	Ray	KAI-LING	11/24/1990	M	10
1006183	3005	Byrnes	Jim		05/13/1996	M	06
1005631	INACT	Brown	Mordecai		08/12/1992	F	07
1010641	INACT	Bradley	Al	JESUS	07/17/1990	M	09
403618	INACT	Hellings	Genesis	ASIA	07/18/1988	F	02
1006746	INACT	Chaney	Esty		07/13/1987	F	PG
1006747	INACT	Channell	Les	E	09/05/1996	F	KF
1008925	INACT	Drews	Karl	TERRELL	03/26/1995	M	05
1006735	INACT	Champion	Bill	JOAQUIN	02/09/1996	F	03
505402	2002	McCarthy	Alex	ALLEN	05/16/1990	M	11
1009703	4014	Ainsmith	Eddie		03/23/1998	F	03
1011752	INACT	Corgan	Chuck		03/27/1999	M	KF
1004432	INACT	Bankston	Everett	LARON	11/13/1996	M	04
1002437	2002	Rodriguez	Tony	DELORES	09/01/1993	F	09
1004087	INACT	Bradshaw	Dallas		06/26/1991	M	07
1003634	INACT	Watkins	Harvey		02/04/1994	M	06
1003635	INACT	Warner	Jack	MARISA ROSE	09/22/1994	M	03
1010246	INACT	Beers	Clarence	ROBERT	05/24/1996	M	03
1009580	4012	Elsh	Roy	EMILIO	05/25/1998	M	03
1003712	INACT	Werth	Jayson	J	11/14/1984	F	11
1006842	INACT	Chiles	Pearce	DAYTON	05/26/1988	F	PG
105798	2002	Sikorski	Brian	KIMBERLY	11/27/1990	M	10
1010692	INACT	Brandt	Bill	CRISTINA	03/27/1988	F	12
403528	INACT	Hamby	Jim	LUIS	09/26/1987	M	03
1004855	3005	Bigbie	Larry	JOI	07/30/1994	F	08
1009645	4014	Kretlow	Lou	SCOTT	12/12/1997	F	03
1007813	4012	Crawford	Carlos	GERARD	07/18/1997	F	03
1007814	4011	Crawford	Jim		11/04/1996	M	05
1011629	INACT	Collins	Hub		03/24/1990	M	10
504403	INACT	Clarke	Horace		04/21/1987	M	PG
1011221	INACT	Cabrera	Daniel	PATRICE	12/11/1998	M	01
1011219	INACT	Barthelson	Bob	M	12/11/1998	F	03
1001601	2002	McAuliffe	Dick	NAULT	06/19/1990	M	10
1007950	4011	Crowley	Terry	ALONSO	05/26/1996	M	05
1008596	INACT	Devlin	Art	PATRICK	10/20/1993	F	06
1009849	4009	Arellanes	Frank	A	04/26/2000	M	02
105926	2002	Claire	Danny	DASHAWN	06/12/1990	M	11
1006244	3005	Calero	Kiko	TIARNAN	12/02/1995	M	06
1007810	4011	Craver	Bill	P	04/02/1997	F	05
1000272	INACT	Gainer	Jay	ESTEFANIA	04/17/1991	F	10
1010833	INACT	Brown	Brant		08/07/1987	F	12
1000179	INACT	Engle	Dave	ANTONIO	03/05/1989	M	05
1001948	2002	Newman	Ray	A	11/20/1989	F	11
1005742	4009	Bruner	Jack		02/02/1998	F	03
1001952	INACT	Nichols	Dolan		02/24/1991	M	02
1002071	2002	Ownbey	Rick	LEIGH	03/21/1993	M	09
1008740	INACT	Dolan	Tom		10/07/1996	M	03
1010506	CHARTER	Bold	Charlie	B	09/06/1995	M	07
1007139	3005	Cochrane	Mickey	DUPREE	06/24/1996	F	06
1010404	4009	Black	Dave	S	09/28/1998	M	03
1001914	INACT	Naehring	Tim	CHANE	02/06/1990	F	03
1011113	2002	Burke	Steve		05/29/1991	M	10
1010284	INACT	Benedict	Art	WILLIAM	12/15/1987	F	PG
1009699	4007	Addis	Bob	ROSE	01/03/1998	M	03
1003893	2002	Wilson	Squanto	ANNA	06/19/1994	F	09
1004947	3005	Blakiston	Bob		05/21/1995	F	07
105244	INACT	Lieber	Jon		07/02/1988	F	02
1011541	4014	Clausen	Fritz		01/08/1999	F	03
403846	INACT	Jensen	Marcus		09/19/1989	M	01
105600	2002	Boley	Joe	JAMES	10/11/1989	F	11
105780	2002	Butler	Adam	L	02/28/1990	M	11
1009621	4009	Ens	Jewel		09/17/1998	M	03
1009622	4012	Ens	Mutz	JAMES	10/10/1997	M	03
1006476	3005	Carson	Al		11/01/1995	F	07
1011751	INACT	Corkins	Mike	E	11/07/1998	F	KF
1005303	2002	Koosman	Jerry	ADAM	04/10/1994	M	09
1009786	INACT	Alvarez	Wilson	MARK	05/03/1998	F	02
1008189	INACT	Datz	Jeff	T	06/27/1997	F	03
1009700	4007	Adkins	Dewey	JOSEPH	11/27/1998	M	03
1006830	2002	Chevez	Tony	ENRIQUE	08/26/1994	M	09
1013424	4014	Hanski	Don	M	01/26/2000	F	02
1009579	4012	Elster	Kevin		09/22/1998	F	03
1005067	4011	Boles	Carl	SIOBHAN	08/05/1997	M	05
403611	INACT	Heintzelman	Ken	V	09/22/1988	M	02
1000569	INACT	Steiner	Ben	CHRISTOPHER	10/11/1990	M	KP
1002405	INACT	Roach	Jason	G	03/03/1993	M	KP
1000688	INACT	Sullivan	Frank		07/03/1989	M	02
504427	INACT	Cone	Bob	W	02/18/1987	M	10
1006843	INACT	Chiles	Rich	ANN	12/21/1991	F	10
105083	INACT	Larkin	Terry	AILEEN	01/04/1987	M	03
105350	INACT	Arnold	Jamie	FITZ LEONANCE	01/21/1987	F	03
1011630	3004	Collins	Joe		03/05/1996	F	07
1006242	3005	Caldwell	Ralph	SCOTT	11/12/1995	F	06
1004624	3005	Behel	Steve	R	10/26/1994	F	07
1006637	INACT	Cater	Danny	P	08/10/1987	M	PG
1009727	4012	Aldridge	Vic		11/25/1997	F	03
1009600	4012	Encarnacion	Angelo	N	02/13/1998	F	03
1009604	4014	Encarnacion	Luis		02/04/1998	F	03
1009605	4012	Encarnacion	Mario	MARQUESE	04/23/1998	M	03
1002431	2002	Rodriguez	Henry	L	03/22/1993	F	09
1002915	INACT	Slagle	Jimmy		04/18/1990	M	04
1001541	INACT	Marr	Lefty		02/17/1988	M	12
1001542	INACT	Marshall	Cuddles	LATRELL	10/11/1987	M	05
1011796	4009	Crabb	Roy	MARY	03/09/1999	F	03
1002683	2002	Schwall	Don	NICOLE	02/15/1990	F	11
1009008	3005	Duliba	Bob	RASHAD	09/05/1995	F	06
1003855	INACT	Willingham	Josh	T	11/26/1993	F	KP
1006408	4011	Carew	Rod		08/27/1996	F	05
403689	INACT	Hillman	Dave	ALONSO	09/07/1988	M	02
403690	INACT	Hinkle	Gordie	A	10/10/1985	F	05
404219	2002	Lewis	Richie	DEON	01/17/1990	M	11
105577	2002	Blasingame	Don		11/09/1989	M	11
105579	2002	Blaylock	Marv	MARK	12/19/1989	F	11
1005213	2002	Bowler	Grant	GRACE	07/16/1991	M	10
1002770	INACT	Shannon	Wally		03/07/1991	M	10
1002869	2002	Siglin	Paddy		01/13/1993	F	09
1003888	INACT	Wilson	Max	OLMI	08/14/1994	M	06
1011467	4014	Chevez	Tony	FAE	05/27/1999	F	03
1004540	3005	Bayne	Bill	ELIZA	07/08/1995	M	07
1004543	3004	Baxes	Jim	Louise	10/06/1994	M	07
1004657	3004	Bell	George	RAE	12/30/1994	M	07
1012046	4012	Cruz	Henry	ROSE	10/23/1998	M	03
1011739	INACT	Corbett	Gene	PATRICK	06/17/1993	M	06
105380	INACT	Bailey	Bill		12/11/1988	M	01
105735	INACT	Bucher	Jim	SHAQUAL	03/22/1987	M	03
1011246	4012	Callahan	Jim		03/09/1999	M	03
1011249	4012	Callahan	Leo		07/23/1999	F	03
1003444	3005	Vance	Joe	A	10/04/1994	M	08
1006227	3005	Cain	Sugar	LYNN	12/08/1995	F	06
1008545	4011	Demeter	Don	DAWN	02/18/1995	M	05
505257	2002	Lyons	Pat		09/05/1990	F	11
1002389	INACT	Riggs	Lew	JOEL	10/25/1992	F	02
1003105	INACT	Tarbert	Arlie		10/23/1990	F	04
1003741	4011	Whitaker	Steve	A	12/21/1995	F	05
1003746	INACT	Bradley	Hugh	J	10/27/1993	F	06
1004756	3005	Berger	Clarence		04/25/1995	F	07
504260	INACT	Brizzolara	Tony		06/23/1987	F	02
1013458	4012	Harrington	Mickey	J J	04/05/2001	F	KF
1008279	4007	Davis	Lance	ANNE	07/09/1997	F	03
1002491	INACT	Rufer	Rudy	RYAN	11/28/1992	M	04
1003481	INACT	Vereker	Tommy	A.	08/25/1994	M	KP
1004261	INACT	Anderson	Harry	M	07/31/1992	M	02
1010789	4011	Brito	Bernardo	GABRIELA	02/28/1996	M	05
1004536	3004	Beach	Jack	B	06/19/1995	M	07
1004609	3005	Tierney	Cotton	ANTHONY	07/08/1995	F	07
1008186	INACT	Darwin	Jeff	STEVEN	06/11/1997	M	03
1009654	3004	Abbaticchio	Ed	JAMES	04/07/1994	F	07
1011509	4009	Clancy	Jim	KAY	02/24/1999	F	03
1000367	2002	Greengrass	Jim		04/10/1991	F	10
1000368	INACT	Griffey Sr.	Ken		12/10/1987	M	04
1007457	INACT	Cooke	Dusty	SHARZORA	07/09/1996	F	03
1008582	4011	Dettore	Tom		08/29/1997	M	05
1003570	INACT	Wallace	Lefty	WILLIAM	06/28/1987	M	PG
1006212	INACT	Cadaret	Greg	G	08/26/1996	M	04
1008306	INACT	Davis	Tod	DEGRAFFENREID	10/03/1989	M	12
1003346	3005	Tucker	Tommy	SEBASTIAN	05/23/1994	M	08
1003069	INACT	Sparks	Steve	ALEXANDER	06/22/1994	M	08
1011286	4012	Canseco	Ozzie	EDWARD	06/23/1999	F	03
1007229	INACT	Coles	Cad	ROSALY	05/27/1989	M	12
105405	INACT	Ballard	Jeff	Alexis	06/06/1989	F	01
1011231	4012	Cahill	Tom	WILLIAM	03/26/1999	M	03
1002299	2002	Randolph	Willie		03/04/1993	M	09
1009946	INACT	Baker	Gene	MATTHEW	09/02/1998	M	KF
1005464	2002	Broberg	Pete	M	02/07/1989	M	11
1004727	3004	Bennett	Shayne		07/27/1995	M	07
1004984	3005	Bliss	Elmer	JOSEPH	04/21/1994	F	08
1003688	3004	Wells	Ed	JESSENIA	07/23/1994	M	08
1002513	INACT	Andrews	Mike	KANYA	11/13/1992	F	03
1002514	INACT	Sadler	Donnie		06/13/1992	F	04
1006084	4011	Bush	Joe		04/04/1996	M	05
1004837	3004	Bevington	Terry	GARCIA	12/10/1994	F	08
1001121	2002	Corcoran	Art	MONIQUE	02/17/1991	M	10
1001122	INACT	Corcoran	Tommy		07/28/1989	M	03
1002351	INACT	Ressler	Larry	CAROLYN	06/10/1993	M	01
1006679	3005	Cedeno	Cesar	ANDREW	07/17/1996	M	06
1011344	4007	Caruthers	Bob	MICHAELA	10/14/1998	M	03
1003623	2002	Washburn	Libe		12/07/1993	F	09
1013825	INACT	Fitzpatrick	Gerry		08/12/1990	M	10
1005140	3005	Borders	Pat		02/09/1995	M	07
1005141	INACT	Bordick	Mike	ANDRES	12/11/1990	M	10
1009495	2002	Eggler	Dave	WILLIAM	04/06/1993	M	09
1001252	INACT	Karger	Ed	JUSTIN	09/09/1992	F	04
1007382	4011	Connolly	Tom	T.	07/19/1997	M	05
1010023	4011	Bankston	Everett	JOHN	08/28/1996	F	05
1010784	4009	Brown	Jim		02/22/2001	M	01
1010054	INACT	Barker	Ray	MADELINE	10/22/1989	F	09
1010055	4007	Barkett	Andy		07/02/1998	M	03
404055	2002	Knight	Lon	GALE	09/21/1990	F	11
1005676	4011	Brown	Tom	IMAN	11/15/1996	M	05
1002568	2002	Santovenia	Nelson	BRIANA	09/19/1990	M	11
403602	INACT	Heathcott	Mike	MARIE	04/20/1988	F	02
1013779	4011	Daily	Frank		03/27/1992	M	05
1011783	3005	Cotter	Ed	NOELLE	02/17/1994	F	08
1011784	3005	Cotter	Dick	RAHEIM	03/10/1995	F	07
1002521	INACT	Salkeld	Bill		06/19/1995	M	PG
505133	INACT	Lajeskie	Dick		10/20/1988	M	12
505320	INACT	Manno	Don	RAE	02/17/1990	M	10
1010558	INACT	Borowy	Hank	CHRISTOPHER	02/24/1995	F	05
1003484	2002	Viau	Lee		11/16/1993	M	09
1002845	INACT	Hageman	Casey	L	01/08/1989	F	12
1009894	4014	Bailey	Mark	ESTEBAN	11/07/1997	F	03
1011610	INACT	Coleman	Joe	JORDAN	11/26/1997	F	02
1008281	INACT	Davis	Kiddo	NICOLE	06/03/1998	M	KF
1001564	2002	Masi	Phil	LEE	10/04/1989	F	11
1002174	2002	Phelps	Babe		10/25/1992	F	09
1003216	INACT	Thompson	Fuller	S	12/01/1992	M	07
1009571	4012	Ellison	George	ELIZABETH	12/02/1997	M	03
1011387	INACT	Caulfield	Jake	L	05/02/1999	M	KF
505066	2002	Kerrigan	Joe	M	07/10/1989	M	11
504274	INACT	Brown	Mace		04/19/1987	M	02
1008936	INACT	Driscoll	Paddy	SCOTT	11/08/1994	M	05
105905	INACT	Chiamparino	Scott	ELIZABETH	08/07/1991	M	02
404002	2002	Kerfeld	Charlie	ALEXANDER	08/04/1990	F	11
1002398	2002	Ritter	Hank		07/12/1993	F	09
1010734	INACT	Brice	Alan	ZUELLEN	04/02/1988	M	09
1006245	3005	Calhoun	Bill	JEROME	05/10/1996	M	06
1009345	4011	Eason	Mal		05/20/1996	M	05
1011142	4007	Burns	Jim	CATHLENE	11/12/1998	M	03
1008042	4011	Curry	Steve		12/24/1996	F	05
1011143	4009	Frey	Steve	RAHUL	04/20/2001	F	01
1009676	4012	Adams	Bob		03/17/1998	M	03
1012048	INACT	Gilliam	Jim		04/13/1999	M	KF
1009559	4012	Ellis	Ben		06/28/1998	M	03
505047	INACT	Kellett	Al	S	02/20/1989	F	01
1002806	2002	Taber	Lefty		10/18/1990	F	10
1001569	2002	Mateo	Julio	MONIQUE	02/22/1990	M	11
504294	INACT	Burnett	Johnny	WYNDHAM	08/31/1987	M	PG
105687	2002	Bronkey	Jeff	NICOLE	03/08/1990	M	11
1011797	4007	Crabtree	Estel	BRUCE	09/08/1997	M	03
1002880	2002	Simons	Mel	MARIE	12/02/1989	F	11
1011336	4007	Carroll	Tom	ANTOINE	02/02/1999	M	03
1011798	3004	Craddock	Walt	JOVEL-ZSANAE	03/27/1994	M	08
1003611	3004	Warmoth	Cy		01/26/1994	F	08
1004068	3005	Youngblood	Joel	A.	05/10/1994	F	08
1006179	3005	Byrne	Charlie		04/11/1996	M	06
1011096	INACT	Burgess	Smoky	N	09/19/1998	M	01
1011101	4009	Burke	Glenn	M.	12/25/2000	M	01
1003197	3004	Thomas	Leo	MARQUESE	12/30/1994	M	07
1006342	3005	Campisi	Sal	DANZEL	05/05/1996	F	06
1011543	4014	Clauss	Al	LEIGH	09/14/1998	M	03
1006801	INACT	Chatham	Buster	ANTHONY	03/28/1987	M	PG
403972	2002	Keffer	Frank	DINSHAW	05/14/1990	M	11
105413	INACT	Barber	Steve	PETER	12/30/1988	F	12
403316	INACT	Gilmore	Jim	P	03/15/1987	M	07
1013329	4012	Gyselman	Dick		12/04/1998	F	03
1002408	2002	Roberge	Skippy	C	10/30/1992	F	09
1004322	INACT	Asbjornson	Casper	N	03/03/1993	M	01
105461	INACT	Baumer	Jim	J.	10/22/1988	F	12
105928	INACT	Clapp	John		06/04/1990	M	04
1009633	4014	Epps	Hal	ISIAIAH	05/01/1998	M	03
1011345	4007	Carter	Sol	JOSEPH	09/30/1999	M	03
1011346	INACT	Caruso	Mike	KIMBERLY	02/25/1999	F	01
1011622	INACT	Collier	Orlin		10/02/1998	F	01
1008859	INACT	Dowling	Pete	RENEE HILL	09/27/1987	M	PG
105823	2002	Campisi	Sal	NELESSA	10/03/1990	M	10
1003249	INACT	Tietje	Les	M	01/15/1992	M	04
1003198	INACT	Thomas	Myles	LEANNE	12/08/1988	F	12
1008800	INACT	Dooms	Harry	ANTONIO	05/10/1991	M	11
1003322	2002	Trice	Bob		02/15/1993	F	09
1003058	INACT	Sothoron	Allen		06/29/1989	M	12
504142	INACT	Bernard	Curt	ANN	07/23/1988	M	07
1010466	4007	Block	Cy		11/10/1997	M	03
1010468	2002	Bluejacket	Jim	Inosente	04/26/1987	M	11
1011780	3004	Cote	Henry		08/05/1994	F	08
1000879	INACT	Bielecki	Mike	LYNN	01/09/1992	M	01
1002862	INACT	Siegel	Fred		05/12/1988	M	11
1002391	2002	Ripken Sr.	Cal	EDWARD	01/04/1993	M	09
1009055	2002	Dunlap	Fred		07/03/1991	M	10
1010276	3005	Belliard	Ron	ELIZABETH	07/29/1996	M	06
1004175	INACT	Adkins	Jon	REBECCA	04/14/1991	M	10
1004183	3004	Ainsmith	Eddie		12/15/1993	M	08
1004846	3004	Bibby	Jim		08/05/1995	M	07
105398	INACT	Balcena	Bobby	NICOLE	12/12/1988	F	11
1009898	INACT	Ausmus	Brad	VICTORIA	10/10/1997	F	03
1000460	INACT	Hennigan	Phil	CARLO	07/11/1990	M	03
1006329	3005	Campbell	Jim	G	09/11/1996	F	06
1003306	INACT	Trautman	Fred		12/04/1992	F	06
1003308	INACT	Tracy	Jim		11/17/1995	M	3F
1003449	3004	Varney	Dike	A	08/17/1994	F	08
1010213	4012	Beard	Ted	CAROLINE	06/17/1998	F	03
105523	INACT	Berger	Brandon	CHANTAL	05/14/1989	F	04
105027	INACT	Lake	Eddie	BROWNELL	07/20/1987	F	06
505744	2002	Nitcholas	Otho	GABRIEL	03/09/1991	M	10
1003920	INACT	Wise	Bill	MELISSA	08/06/1994	F	02
1002233	2002	Portocarrero	Arnie	EDWARD	03/25/1993	F	09
1002061	2002	Otero	Ricky	SHARROW	09/04/1993	M	09
1002573	NONPUB	Savage	Jack	ROSE	10/30/1992	F	12
